波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,8.6,622360
末路狂花,雷德利·斯科特 Ridley Scott,1991,8.9,272657
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭,2010,8.5,994622
青蛇,徐克 Hark Tsui,1993,8.6,540263
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,8.7,457486
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,8.5,687849
虎口脱险,杰拉尔·乌里 Gérard Oury,1966,8.9,264861
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,8.7,544237
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,8.8,349586
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,8.4,962587
罗生门,黑泽明 Akira Kurosawa,1950,8.8,323324
新龙门客栈,李惠民 Raymond Lee,1992,8.7,456757
芙蓉镇,谢晋 Jin Xie,1987,9.3,149194
无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,2009,8.7,492887
千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,8.8,309777
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,8.6,513437
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,8.6,661424
萤火虫之墓,高畑勋 Isao Takahata,1988,8.7,411339
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,8.6,600766
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,8.6,561689
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,8.5,597853
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.7,415877
二十二,郭柯 Ke Guo,2015,8.7,296839
血钻,爱德华·兹威克 Edward Zwick,2006,8.7,389188
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,8.7,378044
火星救援,雷德利·斯科特 Ridley Scott,2015,8.5,750880
步履不停,是枝裕和 Hirokazu Koreeda,2008,8.8,287197
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,8.8,374620
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,8.8,285420
白日梦想家,本·斯蒂勒 Ben Stiller,2013,8.6,512138
千年女优,今敏 Satoshi Kon,2001,8.8,278281
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,8.7,362163
高山下的花环,谢晋 Jin Xie,1985,9.5,97769
哈利·波特与凤凰社,大卫·叶茨 David Yates,2007,8.5,592709
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,2018,8.6,686422
弱点,约翰·李·汉考克 John Lee Hancock,2009,8.7,319518
谍影重重,道格·里曼 Doug Liman,2002,8.6,439481
阿飞正传,王家卫 Kar Wai Wong,1990,8.5,523765
大红灯笼高高挂,张艺谋 Yimou Zhang,1991,8.8,290298
朗读者,史蒂芬·戴德利 Stephen Daldry,2008,8.6,461005
再次出发之纽约遇见你,约翰·卡尼 John Carney,2013,8.6,436808
燃情岁月,爱德华·兹威克 Edward Zwick,1994,8.7,293447
